Product_Number,MAE,SMAPE,Accuracy
Product_86,5.83,0.96,99.02
Product_87,2.0,9.52,87.5
Product_88,2.83,0.96,99.04
Product_89,2.0,3.78,95.08
Product_8a,8.84,9.8,91.04
Product_8b,10.16,34.34,67.2
Product_8c,11.17,35.38,65.82
Product_8d,11.17,35.38,65.82
Product_8e,5.67,3.43,96.53
Product_8f,0.0,0.0,100.0
Product_90,0.0,0.0,100.0
Product_91,0.66,13.34,77.78
Product_92,1.84,2.66,97.14
Product_93,2.33,6.32,92.63
Product_94,1.34,1.97,98.04
Product_95,3.16,2.24,97.79
Product_96,9.0,10.85,90.14
Product_97,0.5,100.0,50.0
Product_98,24.0,36.46,68.56
Product_99,2.84,1.49,98.71
Product_9a,4.0,40.89,45.0
Product_9c,2.67,1.74,98.26
Product_9d,3.0,14.62,85.0
Product_9e,14.84,10.02,94.72
Product_9f,2.34,1.15,98.85
Product_a0,21.84,3.34,96.59
Product_a1,10.0,2.48,97.62
Product_a2,15.16,8.91,90.09
Product_a3,1.0,5.5,93.62
Product_a4,0.0,0.0,100.0
Product_a5,6.5,33.9,57.6
Product_a6,1.34,2.99,96.94
Product_a7,1.0,14.28,62.5
Product_a8,0.33,5.6,87.5
Product_a9,3.0,2.38,97.62
Product_aa,2.16,6.23,93.87
Product_ab,3.16,7.96,91.36
Product_ac,0.0,0.0,100.0
Product_ad,1.67,4.43,95.69
Product_ae,0.16,3.7,98.34
Product_af,4.0,28.98,50.0
Product_b0,0.5,20.0,50.0
Product_b2,0.0,0.0,100.0
Product_b3,1.66,7.7,91.07
Product_b4,6.0,26.76,78.05
Product_b5,0.16,1.58,96.43
Product_b6,4.83,16.62,88.94
Product_b7,2.0,1.94,98.02
Product_b8,0.0,0.0,100.0
Product_b9,4.5,3.43,96.52
Product_ba,5.0,22.94,78.26
Product_bb,0.0,0.0,100.0
Product_bc,1.0,0.62,99.39
Product_bd,0.16,0.52,99.3
Product_be,1.0,2.26,97.83
Product_bf,1.0,2.34,97.71
Product_c0,54.66,13.36,87.08
Product_c1,5.34,8.17,90.65
Product_c2,8.0,4.91,95.24
Product_c3,7.67,3.84,96.66
Product_c4,1.34,2.49,97.45
Product_c5,7.0,2.22,97.7
Product_c6,54.66,13.36,87.08
Product_c7,5.34,8.17,90.65
Product_c8,8.0,4.91,95.24
Product_c9,7.67,3.84,96.66
Product_ca,1.34,2.49,97.45
Product_cb,7.0,2.22,97.7
Product_cc,2.84,51.74,59.53
Product_cd,6.33,13.3,86.03
Product_ce,3.16,1.7,98.27
Product_cf,19.5,7.74,92.7
Product_d0,0.16,33.34,94.44
Product_d1,5.33,15.9,83.5
Product_d2,2.34,5.49,94.85
Product_d3,0.0,0.0,100.0
Product_d4,24.84,9.18,91.37
Product_d5,13.5,3.7,96.38
Product_d6,0.34,0.38,99.61
Product_d7,0.16,1.01,98.75
Product_d8,0.16,1.01,98.75
Product_d9,2.84,11.96,88.02
Product_da,0.34,13.34,80.0
Product_db,1.16,14.44,92.85
Product_dc,9.0,21.06,50.0
Product_dd,11.66,47.56,57.32
Product_de,1.16,14.44,92.85
Product_df,3.16,3.94,96.2
Product_e0,4.67,0.74,99.26
Product_e2,0.16,0.36,99.64
Product_e3,1.34,0.5,99.5
Product_e5,8.5,76.26,45.0
Product_e6,2.5,100.0,50.0
Product_e7,4.34,8.45,90.97
Product_e8,2.34,8.66,91.14
Product_ea,4.33,7.33,92.4
Product_eb,18.34,12.07,85.18
Product_ec,4.0,7.14,94.9
Product_ed,0.0,0.0,100.0
Product_ee,21.33,5.1,95.4
Product_ef,15.66,4.61,95.25
Product_f0,0.0,0.0,100.0
