Product_Number,MAE,RMSE,MAPE(%),R²,Accuracy(%),Status
전체 평균,21.797,28.7011,1360863.87,-0.163,70.98,요약
Product_86,39.6212,49.8172,5.95,0.1759,93.81,정확
Product_87,3.6276,12.6485,8197996.94,-0.0065,63.72,주의
Product_88,50.074,58.3745,18.05,-2.6881,80.87,정확
Product_89,18.196,21.8218,55.32,0.5677,71.82,주의
Product_8a,6.5637,7.9957,6.31,-1.2214,93.81,정확
Product_8b,7.5835,15.3622,276.26,-0.074,29.83,경고
Product_8c,7.7836,16.1853,254.91,-0.0907,22.49,경고
Product_8d,7.6042,15.8308,228.52,-0.0435,23.96,경고
Product_8e,21.7583,29.0411,23.97,0.6964,81.59,정확
Product_8f,1.2112,2.0559,637429.6,-0.2725,87.89,정확
Product_90,3.4422,6.4796,1955616.86,-0.0501,67.25,주의
Product_91,0.6573,0.836,1573005.23,-0.2748,93.43,정확
Product_92,4.75,5.7796,4.27,0.8712,95.72,정확
Product_93,5.5562,7.4274,55.26,0.1631,71.12,주의
Product_94,4.2454,5.8908,8.9,-0.1549,91.71,정확
Product_95,12.8701,17.346,9.86,0.6622,89.77,정확
Product_96,12.112,13.9535,11.65,0.1499,88.75,정확
Product_97,11.1467,14.732,18105823.67,-0.1486,12.18,경고
Product_98,13.4341,15.6284,34.07,-3.9788,73.58,주의
Product_99,54.0951,64.3314,29.57,-0.0008,77.69,주의
Product_9a,14.7844,17.493,66.46,-0.0846,62.52,주의
Product_9c,31.8511,40.4566,17.33,0.4052,81.67,정확
Product_9d,6.5118,8.3405,30.74,-0.0133,77.65,주의
Product_9e,33.3829,40.5591,13.83,-0.099,87.27,정확
Product_9f,13.224,15.7125,7.85,0.1267,92.25,정확
Product_a0,11.1571,13.7235,1.85,-0.3619,98.13,정확
Product_a1,4.7531,6.5918,1.12,-0.0265,98.87,정확
Product_a2,65.5299,79.0718,49.69,-1.0433,68.16,주의
Product_a3,13.8118,15.9201,48.52,-0.0783,62.26,주의
Product_a4,1.6368,3.9629,2279899.22,-0.0726,83.63,정확
Product_a5,36.6543,48.6655,46.48,0.0979,66.92,주의
Product_a6,23.8294,28.7441,130.79,-0.0788,60.25,주의
